line,city,districts,plan_stores,plan_rows,act_visits,act_stores,cover,purity,wd_match,sameday,phase,qty,n_never,blocks,block_sizes,block_detail,blocks_worked,block_worked_rate,block_exec_median,block_exec_min,block_wd_rate,cold_blocks,east_km,north_km,nn_median_m,workdays,daily_median,daily_avg,wd_visits,day_radius_km,zones_per_day,freq_1,freq_2p,kind,story
000338545,天津市,"北辰区×232, 西青区×3",211,235,233,199,0.91,0.965,0.91,0.889,0.91,0.99,19,6,"[166, 14, 11, 10, 7]","[{'块': '块1', '中心': '39.219,117.140', '计划店': 166, '跑到的计划店': 147, '执行率': 0.886, '计划星期': '周一', '实际主力星期': '周一'}, {'块': '块2', '中心': '39.254,117.354', '计划店': 14, '跑到的计划店': 14, '执行率': 1.0, '计划星期': '周三', '实际主力星期': '周三'}, {'块': '块3', '中心': '39.237,117.037', '计划店': 11, '跑到的计划店': 11, '执行率': 1.0, '计划星期': '周四', '实际主力星期': '周四'}, {'块': '块4', '中心': '39.291,117.322', '计划店': 10, '跑到的计划店': 10, '执行率': 1.0, '计划星期': '周三', '实际主力星期': '周三'}, {'块': '块5', '中心': '39.316,117.216', '计划店': 7, '跑到的计划店': 7, '执行率': 1.0, '计划星期': '周三', '实际主力星期': '周三'}, {'块': '块6', '中心': '39.072,117.194', '计划店': 3, '跑到的计划店': 3, '执行率': 1.0, '计划星期': '周二', '实际主力星期': '周二'}]",6,1.0,1.0,0.886,1.0,,28.4,28.1,122.0,21,11,11.1,"[56, 45, 44, 44, 44, 0, 0]",4.11,1.0,168,31,区块全开·星期照做,"天津市（北辰区×232, 西青区×3）：计划 211 店 / 235 次，分成 6 个区块（最大区块 166 店）。 地盘东西 28.4 × 南北 28.1 km；区块内店距中位 122 m。 节奏：21 个工作日、平均每天 11.1 家店、一天 1.0 个区块、当天作业半径中位 4.11 km；出勤 周一56/周二45/周三44/周四44/周五44；周六、周日 没跑。 ① 区块开工：6 块里他开工了 6 块；② 区块内执行率中位 100%（最弱一块 89%）；③ 区块星期一致 100%。 参考：覆盖 91%、同日 89%、相位 91%、量比 0.99。 结论：**计划怎么划他就怎么做**——区块全开工、区块内做全、星期按计划。"
000339039,汕头市,"龙湖区×154, 金平区×99",230,253,272,238,0.961,0.929,0.957,0.96,0.957,1.08,9,2,"[229, 1]","[{'块': '块1', '中心': '23.370,116.719', '计划店': 229, '跑到的计划店': 220, '执行率': 0.961, '计划星期': '周一', '实际主力星期': '周一'}, {'块': '块2', '中心': '23.408,116.644', '计划店': 1, '跑到的计划店': 1, '执行率': 1.0, '计划星期': '周三', '实际主力星期': '周三'}]",2,1.0,0.98,0.961,1.0,,11.3,6.7,74.0,22,12,12.4,"[68, 49, 52, 53, 49, 1, 0]",1.51,1.0,209,29,区块全开·星期照做,"汕头市（龙湖区×154, 金平区×99）：计划 230 店 / 253 次，分成 2 个区块（最大区块 229 店）。 地盘东西 11.3 × 南北 6.7 km；区块内店距中位 74 m。 节奏：22 个工作日、平均每天 12.4 家店、一天 1.0 个区块、当天作业半径中位 1.51 km；出勤 周一68/周二49/周三52/周四53/周五49/周六1；周日 没跑。 ① 区块开工：2 块里他开工了 2 块；② 区块内执行率中位 98%（最弱一块 96%）；③ 区块星期一致 100%。 参考：覆盖 96%、同日 96%、相位 96%、量比 1.08。 结论：**计划怎么划他就怎么做**——区块全开工、区块内做全、星期按计划。"
000340007,广州市,黄埔区×261,234,261,257,228,0.949,0.974,0.949,0.943,0.949,0.98,12,6,"[148, 37, 34, 11, 3]","[{'块': '块1', '中心': '23.183,113.476', '计划店': 148, '跑到的计划店': 142, '执行率': 0.959, '计划星期': '周五', '实际主力星期': '周二'}, {'块': '块2', '中心': '23.345,113.532', '计划店': 37, '跑到的计划店': 35, '执行率': 0.946, '计划星期': '周三', '实际主力星期': '周三'}, {'块': '块3', '中心': '23.205,113.549', '计划店': 34, '跑到的计划店': 33, '执行率': 0.971, '计划星期': '周一', '实际主力星期': '周一'}, {'块': '块4', '中心': '23.248,113.590', '计划店': 11, '跑到的计划店': 11, '执行率': 1.0, '计划星期': '周一', '实际主力星期': '周一'}, {'块': '块5', '中心': '23.260,113.556', '计划店': 3, '跑到的计划店': 1, '执行率': 0.333, '计划星期': '周四', '实际主力星期': '周四'}, {'块': '块6', '中心': '23.343,113.499', '计划店': 1, '跑到的计划店': 0, '执行率': 0.0, '计划星期': '周三', '实际主力星期': '未开工'}]",5,0.833,0.953,0.0,1.0,区块×3店 仅执行 33%,18.0,28.6,67.0,21,12,12.2,"[60, 55, 44, 50, 48, 0, 0]",3.85,1.0,200,28,区块缺了没开,广州市（黄埔区×261）：计划 234 店 / 261 次，分成 6 个区块（最大区块 148 店）。 地盘东西 18.0 × 南北 28.6 km；区块内店距中位 67 m。 节奏：21 个工作日、平均每天 12.2 家店、一天 1.0 个区块、当天作业半径中位 3.85 km；出勤 周一60/周二55/周三44/周四50/周五48；周六、周日 没跑。 ① 区块开工：6 块里他开工了 5 块；② 区块内执行率中位 95%（最弱一块 0%）；③ 区块星期一致 100%。 参考：覆盖 95%、同日 94%、相位 95%、量比 0.98。 结论：**有 1 个区块整块没开工**，但他开的那几块做得很好（执行率与星期都守）——先问为什么不去那几块。 最冷的区块（计划内执行率最低）：区块×3店 仅执行 33%。
000340101,佛山市,顺德区×183,179,183,206,198,0.888,0.803,0.888,0.885,0.883,1.13,20,1,[179],"[{'块': '块1', '中心': '22.892,113.207', '计划店': 179, '跑到的计划店': 159, '执行率': 0.888, '计划星期': '周三', '实际主力星期': '周五'}]",1,1.0,0.888,0.888,1.0,,15.2,17.2,181.0,19,9,10.8,"[41, 33, 45, 41, 46, 0, 0]",1.74,1.0,190,8,区块全开·星期照做,佛山市（顺德区×183）：计划 179 店 / 183 次，分成 1 个区块（最大区块 179 店）。 地盘东西 15.2 × 南北 17.2 km；区块内店距中位 181 m。 节奏：19 个工作日、平均每天 10.8 家店、一天 1.0 个区块、当天作业半径中位 1.74 km；出勤 周一41/周二33/周三45/周四41/周五46；周六、周日 没跑。 ① 区块开工：1 块里他开工了 1 块；② 区块内执行率中位 89%（最弱一块 89%）；③ 区块星期一致 100%。 参考：覆盖 89%、同日 88%、相位 88%、量比 1.13。 结论：**计划怎么划他就怎么做**——区块全开工、区块内做全、星期按计划。
000340501,郑州市,"金水区×207, 惠济区×105",258,312,259,216,0.733,0.875,0.717,0.692,0.733,0.83,69,1,[258],"[{'块': '块1', '中心': '34.827,113.650', '计划店': 258, '跑到的计划店': 189, '执行率': 0.733, '计划星期': '周一', '实际主力星期': '周五'}]",1,1.0,0.733,0.733,1.0,,14.9,14.3,119.0,18,12,14.4,"[58, 39, 39, 59, 64, 0, 0]",3.32,1.0,177,39,区块全开·区块内欠访,"郑州市（金水区×207, 惠济区×105）：计划 258 店 / 312 次，分成 1 个区块（最大区块 258 店）。 地盘东西 14.9 × 南北 14.3 km；区块内店距中位 119 m。 节奏：18 个工作日、平均每天 14.4 家店、一天 1.0 个区块、当天作业半径中位 3.32 km；出勤 周一58/周二39/周三39/周四59/周五64；周六、周日 没跑。 ① 区块开工：1 块里他开工了 1 块；② 区块内执行率中位 73%（最弱一块 73%）；③ 区块星期一致 100%。 参考：覆盖 73%、同日 69%、相位 73%、量比 0.83。 结论：区块都开了、星期也守，但**区块内没做全**（存在欠访）。"
000340591,深圳市,"罗湖区×126, 盐田区×50",153,176,264,221,1.0,0.692,1.0,1.0,1.0,1.5,0,3,"[108, 25, 20]","[{'块': '块1', '中心': '22.568,114.143', '计划店': 108, '跑到的计划店': 108, '执行率': 1.0, '计划星期': '周一', '实际主力星期': '周一'}, {'块': '块2', '中心': '22.551,114.233', '计划店': 25, '跑到的计划店': 25, '执行率': 1.0, '计划星期': '周四', '实际主力星期': '周四'}, {'块': '块3', '中心': '22.590,114.289', '计划店': 20, '跑到的计划店': 20, '执行率': 1.0, '计划星期': '周四', '实际主力星期': '周四'}]",3,1.0,1.0,1.0,1.0,,19.5,7.0,55.0,18,12,14.7,"[56, 42, 41, 41, 42, 28, 14]",2.29,1.0,182,39,区块全开·星期照做,"深圳市（罗湖区×126, 盐田区×50）：计划 153 店 / 176 次，分成 3 个区块（最大区块 108 店）。 地盘东西 19.5 × 南北 7.0 km；区块内店距中位 55 m。 节奏：18 个工作日、平均每天 14.7 家店、一天 1.0 个区块、当天作业半径中位 2.29 km；出勤 周一56/周二42/周三41/周四41/周五42/周六28/周日14。 ① 区块开工：3 块里他开工了 3 块；② 区块内执行率中位 100%（最弱一块 100%）；③ 区块星期一致 100%。 参考：覆盖 100%、同日 100%、相位 100%、量比 1.5。 结论：**计划怎么划他就怎么做**——区块全开工、区块内做全、星期按计划。"
000341803,惠州市,惠城区×121,107,121,229,215,0.85,0.423,0.8,0.81,0.85,1.89,16,1,[107],"[{'块': '块1', '中心': '23.120,114.437', '计划店': 107, '跑到的计划店': 91, '执行率': 0.85, '计划星期': '周四', '实际主力星期': '周四'}]",1,1.0,0.85,0.85,1.0,,7.4,14.8,112.0,15,9,15.3,"[69, 42, 46, 38, 34, 0, 0]",1.18,1.0,201,14,区块全开·星期照做,惠州市（惠城区×121）：计划 107 店 / 121 次，分成 1 个区块（最大区块 107 店）。 地盘东西 7.4 × 南北 14.8 km；区块内店距中位 112 m。 节奏：15 个工作日、平均每天 15.3 家店、一天 1.0 个区块、当天作业半径中位 1.18 km；出勤 周一69/周二42/周三46/周四38/周五34；周六、周日 没跑。 ① 区块开工：1 块里他开工了 1 块；② 区块内执行率中位 85%（最弱一块 85%）；③ 区块星期一致 100%。 参考：覆盖 85%、同日 81%、相位 85%、量比 1.89。 结论：**计划怎么划他就怎么做**——区块全开工、区块内做全、星期按计划。
000341860,郑州市,"中原区×131, 二七区×128",212,260,222,184,0.854,0.984,0.774,0.727,0.797,0.85,31,2,"[211, 1]","[{'块': '块1', '中心': '34.737,113.621', '计划店': 211, '跑到的计划店': 180, '执行率': 0.853, '计划星期': '周一', '实际主力星期': '周一'}, {'块': '块2', '中心': '34.809,113.581', '计划店': 1, '跑到的计划店': 1, '执行率': 1.0, '计划星期': '周一', '实际主力星期': '周一'}]",2,1.0,0.927,0.853,1.0,,14.9,11.4,104.0,19,12,11.7,"[74, 36, 36, 28, 30, 0, 18]",1.62,1.0,147,37,区块全开·星期照做,"郑州市（中原区×131, 二七区×128）：计划 212 店 / 260 次，分成 2 个区块（最大区块 211 店）。 地盘东西 14.9 × 南北 11.4 km；区块内店距中位 104 m。 节奏：19 个工作日、平均每天 11.7 家店、一天 1.0 个区块、当天作业半径中位 1.62 km；出勤 周一74/周二36/周三36/周四28/周五30/周日18；周六 没跑。 ① 区块开工：2 块里他开工了 2 块；② 区块内执行率中位 93%（最弱一块 85%）；③ 区块星期一致 100%。 参考：覆盖 85%、同日 73%、相位 80%、量比 0.85。 结论：**计划怎么划他就怎么做**——区块全开工、区块内做全、星期按计划。"
000343720,重庆市,"大足区×31, 荣昌区×13",44,44,219,205,1.0,0.215,1.0,1.0,1.0,4.98,0,3,"[19, 13, 12]","[{'块': '块1', '中心': '29.695,105.731', '计划店': 19, '跑到的计划店': 19, '执行率': 1.0, '计划星期': '周三', '实际主力星期': '周三'}, {'块': '块2', '中心': '29.406,105.596', '计划店': 13, '跑到的计划店': 13, '执行率': 1.0, '计划星期': '周二', '实际主力星期': '周二'}, {'块': '块3', '中心': '29.488,105.773', '计划店': 12, '跑到的计划店': 12, '执行率': 1.0, '计划星期': '周五', '实际主力星期': '周五'}]",3,1.0,1.0,1.0,1.0,,18.4,34.0,115.0,8,5,27.4,"[38, 44, 46, 50, 41, 0, 0]",0.7,1.0,191,14,区块全开·星期照做,"重庆市（大足区×31, 荣昌区×13）：计划 44 店 / 44 次，分成 3 个区块（最大区块 19 店）。 地盘东西 18.4 × 南北 34.0 km；区块内店距中位 115 m。 节奏：8 个工作日、平均每天 27.4 家店、一天 1.0 个区块、当天作业半径中位 0.7 km；出勤 周一38/周二44/周三46/周四50/周五41；周六、周日 没跑。 ① 区块开工：3 块里他开工了 3 块；② 区块内执行率中位 100%（最弱一块 100%）；③ 区块星期一致 100%。 参考：覆盖 100%、同日 100%、相位 100%、量比 4.98。 结论：**计划怎么划他就怎么做**——区块全开工、区块内做全、星期按计划。"
000343775,扬州市,"邗江区×150, 仪征市×21",168,171,192,184,0.833,0.761,0.829,0.825,0.827,1.12,28,5,"[134, 20, 11, 2, 1]","[{'块': '块1', '中心': '32.396,119.403', '计划店': 134, '跑到的计划店': 115, '执行率': 0.858, '计划星期': '周一', '实际主力星期': '周一'}, {'块': '块2', '中心': '32.278,119.176', '计划店': 20, '跑到的计划店': 12, '执行率': 0.6, '计划星期': '周三', '实际主力星期': '周三'}, {'块': '块3', '中心': '32.339,119.384', '计划店': 11, '跑到的计划店': 11, '执行率': 1.0, '计划星期': '周四', '实际主力星期': '周四'}, {'块': '块4', '中心': '32.414,119.335', '计划店': 2, '跑到的计划店': 2, '执行率': 1.0, '计划星期': '周二', '实际主力星期': '周二'}, {'块': '块5', '中心': '32.325,119.299', '计划店': 1, '跑到的计划店': 0, '执行率': 0.0, '计划星期': '周四', '实际主力星期': '未开工'}]",4,0.8,0.858,0.0,1.0,,30.6,19.0,156.0,16,12,12.0,"[39, 41, 36, 38, 38, 0, 0]",1.21,1.0,176,8,区块缺了没开,"扬州市（邗江区×150, 仪征市×21）：计划 168 店 / 171 次，分成 5 个区块（最大区块 134 店）。 地盘东西 30.6 × 南北 19.0 km；区块内店距中位 156 m。 节奏：16 个工作日、平均每天 12.0 家店、一天 1.0 个区块、当天作业半径中位 1.21 km；出勤 周一39/周二41/周三36/周四38/周五38；周六、周日 没跑。 ① 区块开工：5 块里他开工了 4 块；② 区块内执行率中位 86%（最弱一块 0%）；③ 区块星期一致 100%。 参考：覆盖 83%、同日 82%、相位 83%、量比 1.12。 结论：**有 1 个区块整块没开工**，但他开的那几块做得很好（执行率与星期都守）——先问为什么不去那几块。"
